City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Salalah,OM,86.09,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
8,Komsomolskiy,UZ,92.12,scattered clouds,40.4272,71.7189,Ikathouse
53,Bargarh,IN,94.91,scattered clouds,21.3333,83.6167,HOTEL VD PALACE
64,Terra Santa,BR,86.9,scattered clouds,-2.1042,-56.4869,Hotel Sarah
75,Touros,BR,85.1,clear sky,-5.1989,-35.4608,INN NEW HORIZON
84,Kurduvadi,IN,92.03,overcast clouds,18.0833,75.4333,Trimurti Hotel and Lodging
94,Kathu,TH,89.62,broken clouds,7.9178,98.3332,Novotel Phuket Resort
131,Mazagao,BR,86.05,clear sky,-0.115,-51.2894,Recanto dos Ferreiras
142,Nsanje,MW,85.37,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
151,Jalu,LY,93.99,clear sky,29.0331,21.5482,صاحبة الفخامة
178,Monte Alegre,BR,85.1,clear sky,-2.0078,-54.0692,Hotel Shekinah
208,Novo Aripuana,BR,88.72,clear sky,-5.1206,-60.3797,Hotel Ezequiel
214,Barreirinhas,BR,87.6,clear sky,-2.7469,-42.8264,Gran Lençóis Flat Residence
228,Black River,JM,85.98,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
247,Faya,SA,86.52,clear sky,18.3851,42.4509,مقبرة ال مجمل
251,Salinopolis,BR,85.06,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
256,Sao Miguel Do Guama,BR,87.15,broken clouds,-1.6267,-47.4833,Hotel Rio Guamá
267,Gat,IL,85.41,clear sky,31.61,34.7642,OlusHome
284,Coahuayana,MX,85.48,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
330,Morant Bay,JM,85.62,light rain,17.8815,-76.4093,Whispering Bamboo Cove Resort
348,Cururupu,BR,87.67,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
358,Lucapa,AO,87.91,broken clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
373,Ilorin,NG,88.16,few clouds,8.5,4.55,Ayala Suite Annex
374,Presidente Dutra,BR,86.61,few clouds,-5.29,-44.49,Pousada Planalto
399,Aquiraz,BR,88.21,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
414,Champerico,GT,89.73,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
425,Jiwani,PK,88.97,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
431,Amarante Do Maranhao,BR,86.18,clear sky,-5.5667,-46.7422,Hotéis Caçulinha
454,Sao Miguel,BR,86.32,clear sky,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
458,Hungund,IN,90.01,overcast clouds,16.0667,76.05,B S Hosur Rrt PDO
461,Jacareacanga,BR,88.11,clear sky,-6.2222,-57.7528,Casa do Ian😎
491,Mizdah,LY,94.28,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
493,Camocim,BR,86.65,clear sky,-2.9022,-40.8411,Hotel Ilha do Amor
510,Pedro Ii,BR,85.32,clear sky,-4.4247,-41.4586,Opala Hotel Pedro II
535,Thayetmyo,MM,88.34,scattered clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
549,Itarema,BR,86.02,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
630,Berbera,SO,90.46,few clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
645,Gidam,IN,87.12,broken clouds,18.9833,81.4,Dhanshree Lodge And DormItory
661,Caucaia,BR,88.07,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
665,Turiacu,BR,87.39,clear sky,-1.6633,-45.3717,Pousada Maranata
668,Homnabad,IN,91.65,scattered clouds,17.7667,77.1333,Marthand Vilas
669,Arecibo,PR,87.19,overcast clouds,18.4724,-66.7157,Atlantic Sand Oasis
673,Palkonda,IN,88.3,broken clouds,18.6,83.75,Ayyappa Shankar residency
676,Klaeng,TH,90.95,few clouds,12.7797,101.6483,Damrongcheep in Resort
683,Kadhan,PK,88.07,clear sky,24.481,68.9859,ڳوٺ چوڌري جلال الدين جٽ
686,Puerto Cabezas,NI,85.96,broken clouds,14.0351,-83.3888,Cabaña Caribe
697,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
