City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Dikson,RU,73.5069,80.5464,32.27,98,100,10.6,overcast clouds
Ushuaia,AR,-54.8,-68.3,28.06,100,75,5.75,broken clouds
Salalah,OM,17.0151,54.0924,86.09,79,20,9.22,few clouds
Upernavik,GL,72.7868,-56.1549,31.44,82,84,1.74,broken clouds
Cape Town,ZA,-33.9258,18.4232,66.11,61,20,1.01,few clouds
New Norfolk,AU,-42.7826,147.0587,54.91,69,75,1.99,broken clouds
Ribeira Grande,PT,38.5167,-28.7,64.8,52,40,12.66,scattered clouds
Kavaratti,IN,10.5669,72.642,83.95,75,100,20.22,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,92.12,16,25,0.0,scattered clouds
Sur,OM,22.5667,59.5289,97.0,38,0,3.89,clear sky
Hasaki,JP,35.7333,140.8333,61.29,76,5,7.76,clear sky
Mahibadhoo,MV,3.7833,72.9667,84.02,67,89,16.78,overcast clouds
Likasi,CD,-10.9814,26.7333,78.26,30,49,3.11,scattered clouds
Zhigansk,RU,66.7697,123.3711,57.34,44,100,6.44,overcast clouds
Mataura,NZ,-46.1927,168.8643,49.48,91,100,3.51,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,30.31,93,75,0.89,broken clouds
Rikitea,PF,-23.1203,-134.9692,71.53,64,61,22.64,broken clouds
Albany,US,42.6001,-73.9662,65.68,71,100,3.04,overcast clouds
Severo-Kurilsk,RU,50.6789,156.125,38.34,96,100,4.68,light rain
Souillac,MU,-20.5167,57.5167,70.18,94,75,11.41,light rain
Agua Verde,MX,22.9,-106.05,82.04,57,82,3.6,broken clouds
Chuy,UY,-33.6971,-53.4616,59.31,63,81,12.35,broken clouds
Dubovka,RU,49.0583,44.829,77.86,59,100,9.6,overcast clouds
Barrow,US,71.2906,-156.7887,28.42,86,90,17.27,overcast clouds
Saint-Augustin,CA,51.226,-58.6502,44.76,97,100,3.49,overcast clouds
Nikolskoye,RU,59.7035,30.7861,64.29,44,95,7.96,overcast clouds
Lagoa,PT,39.05,-27.9833,59.16,61,45,16.67,scattered clouds
Kinlochleven,GB,56.7115,-4.9661,66.29,68,99,4.88,overcast clouds
Khatanga,RU,71.9667,102.5,35.65,84,100,11.72,overcast clouds
Bam,IR,29.106,58.357,100.94,5,0,10.38,clear sky
Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,87,5.01,overcast clouds
Hilo,US,19.7297,-155.09,73.8,90,90,3.44,overcast clouds
Kapaa,US,22.0752,-159.319,73.38,72,1,6.26,clear sky
