City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Cabo San Lucas,40,MX,2021-05-29 17:12:46,54,22.8909,-109.9124,95.81,3.44
1,Takoradi,99,GH,2021-05-29 17:12:46,77,4.8845,-1.7554,82.35,8.46
2,Iqaluit,32,CA,2021-05-29 17:12:46,58,63.7506,-68.5145,36.05,18.43
3,Dali,44,CN,2021-05-29 17:15:49,75,25.7,100.1833,66.09,5.88
4,Ponta Do Sol,38,PT,2021-05-29 17:15:49,63,32.6667,-17.1,73.13,4.72
5,Shu,21,KZ,2021-05-29 17:15:49,43,43.5983,73.7614,74.7,9.69
6,Butaritari,100,KI,2021-05-29 17:15:50,81,3.0707,172.7902,82.33,15.86
7,Tiksi,93,RU,2021-05-29 17:12:04,98,71.6872,128.8694,29.8,8.05
8,Yellowknife,37,CA,2021-05-29 17:13:04,52,62.456,-114.3525,52.32,1.99
9,Ambon,99,ID,2021-05-29 17:12:49,81,-3.6954,128.1814,80.24,8.93
10,Saskylakh,16,RU,2021-05-29 17:12:49,96,71.9167,114.0833,29.79,6.58
11,Nyurba,11,RU,2021-05-29 17:12:50,56,63.2842,118.3319,51.15,2.8
12,Grande Prairie,16,CA,2021-05-29 17:12:50,45,55.1667,-118.8027,57.52,13.91
13,Puerto Ayora,55,EC,2021-05-29 17:12:50,82,-0.7393,-90.3518,77.56,10.0
14,Hermanus,23,ZA,2021-05-29 17:12:51,83,-34.4187,19.2345,59.9,5.39
15,Urumqi,20,CN,2021-05-29 17:15:51,52,43.801,87.6005,67.15,11.34
16,Bethel,90,US,2021-05-29 17:12:51,89,41.3712,-73.414,49.01,1.99
17,Vao,98,NC,2021-05-29 17:12:52,64,-22.6667,167.4833,68.88,22.79
18,Rikitea,72,PF,2021-05-29 17:12:52,85,-23.1203,-134.9692,77.0,19.01
19,Bluff,100,NZ,2021-05-29 17:11:48,87,-46.6,168.3333,49.8,19.75
20,Nantucket,90,US,2021-05-29 17:09:52,92,41.2835,-70.0995,49.03,27.63
21,Arman,100,RU,2021-05-29 17:12:53,99,59.7,150.1667,36.23,3.96
22,Jamestown,90,US,2021-05-29 17:12:53,82,42.097,-79.2353,49.59,5.99
23,Busselton,86,AU,2021-05-29 17:12:53,83,-33.65,115.3333,55.09,8.05
24,Kapaa,75,US,2021-05-29 17:12:54,84,22.0752,-159.319,73.38,1.01
25,Namanga,94,KE,2021-05-29 17:12:54,78,-2.5433,36.7905,66.27,5.23
26,Bredasdorp,8,ZA,2021-05-29 17:12:55,87,-34.5322,20.0403,58.28,7.05
27,Barrow,90,US,2021-05-29 17:12:55,86,71.2906,-156.7887,30.22,11.5
28,Dikson,49,RU,2021-05-29 17:12:55,92,73.5069,80.5464,22.33,1.45
29,Walvis Bay,66,NA,2021-05-29 17:12:56,66,-22.9575,14.5053,60.1,13.15
30,Punta Arenas,75,CL,2021-05-29 17:12:56,52,-53.15,-70.9167,37.51,20.74
31,Saint-Philippe,38,RE,2021-05-29 17:12:56,78,-21.3585,55.7679,71.19,5.3
32,Esperance,100,AU,2021-05-29 17:12:57,83,-33.8667,121.9,64.11,22.7
33,Bambous Virieux,75,MU,2021-05-29 17:12:57,88,-20.3428,57.7575,77.25,3.74
34,Thompson,75,CA,2021-05-29 17:12:57,48,55.7435,-97.8558,60.96,10.36
35,Castro,21,BR,2021-05-29 17:12:58,58,-24.7911,-50.0119,74.88,13.51
36,Hilo,75,US,2021-05-29 17:11:39,82,19.7297,-155.09,79.29,5.75
37,Mayo,90,US,2021-05-29 17:12:58,93,38.8876,-76.5119,54.43,13.0
38,Port Elizabeth,75,ZA,2021-05-29 17:12:59,94,-33.918,25.5701,56.1,11.5
39,Sandwick,90,GB,2021-05-29 17:12:59,87,60.0,-1.25,46.22,7.09
40,Albany,100,US,2021-05-29 17:11:52,84,42.6001,-73.9662,49.35,4.94
41,Ushuaia,75,AR,2021-05-29 17:11:53,93,-54.8,-68.3,29.86,13.8
42,Gladstone,93,AU,2021-05-29 17:13:00,48,-23.85,151.25,62.53,5.75
43,Vaini,40,TO,2021-05-29 17:13:00,100,-21.2,-175.2,71.76,0.0
44,Mahebourg,75,MU,2021-05-29 17:13:00,88,-20.4081,57.7,77.29,6.91
45,Hofn,82,IS,2021-05-29 17:13:01,90,64.2539,-15.2082,46.9,20.85
46,Tual,89,ID,2021-05-29 17:13:01,82,-5.6667,132.75,81.03,17.81
47,Riyadh,0,SA,2021-05-29 17:09:59,10,24.6877,46.7219,105.85,8.05
48,Bitam,100,GA,2021-05-29 17:13:02,94,2.076,11.5007,73.13,2.44
49,Hithadhoo,66,MV,2021-05-29 17:11:53,71,-0.6,73.0833,83.75,16.37
50,Mataura,100,NZ,2021-05-29 17:11:36,97,-46.1927,168.8643,49.48,3.49
51,Kavaratti,54,IN,2021-05-29 17:13:03,75,10.5669,72.642,83.71,16.98
52,Isiro,99,CD,2021-05-29 17:13:03,66,2.7739,27.616,74.41,0.78
53,Tiarei,66,PF,2021-05-29 17:13:03,73,-17.5333,-149.3333,73.42,13.09
